../DDBJ/1772-062-248_D05.2.fastq.bz2	Input file name.
04-10-2015; 5:28pm	Date and Time
20.000000	selected threshold
2075301	total input reads
1807054	successfully extracted
87.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2041	low complexity
266206	match artifacts:
42863	Nextera_501
501	Nextera_502
5	Nextera_503
197607	Nextera_504
3614	Nextera_505
26	Nextera_506
10	Nextera_507
7	Nextera_508
42	Nextera_701
4	Nextera_504_Reversed:
1	Nextera_506_Reversed:
1	rRNA_5.8S
2443	rRNA_18S
151	rRNA_28S
10846	EC2_RNA_SPIKE_1_(750_bp)
1026	EC15_RNA_SPIKE_4_(1000_bp)
7	EC18_RNA_SPIKE_7_(1474bp)
5079	HPV18
1973	HPV18_as
