../DDBJ/1772-062-249_G01.2.fastq.bz2	Input file name.
04-10-2015;11:44pm	Date and Time
20.000000	selected threshold
932750	total input reads
853299	successfully extracted
91.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1130	low complexity
78321	match artifacts:
10276	Nextera_501
523	Nextera_502
3	Nextera_503
2002	Nextera_504
29	Nextera_505
1737	Nextera_506
45230	Nextera_507
10	Nextera_701
1	Nextera_504_Reversed:
1	rRNA_5.8S
2704	rRNA_18S
134	rRNA_28S
10699	EC2_RNA_SPIKE_1_(750_bp)
762	EC15_RNA_SPIKE_4_(1000_bp)
99	EC18_RNA_SPIKE_7_(1474bp)
3111	HPV18
1000	HPV18_as
