../DDBJ/1772-067-039_G07.2.fastq.bz2	Input file name.
04-11-2015;12:59pm	Date and Time
20.000000	selected threshold
1677617	total input reads
1524212	successfully extracted
90.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9394	low complexity
144011	match artifacts:
30131	Nextera_501
439	Nextera_502
10	Nextera_503
5218	Nextera_504
146	Nextera_505
6087	Nextera_506
87439	Nextera_507
10	Nextera_508
6	Nextera_701
17	rRNA_5.8S
808	rRNA_18S
134	rRNA_28S
307	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
9303	HPV18
3955	HPV18_as
