../DDBJ/1772-064-103_C01.2.fastq.bz2	Input file name.
04-11-2015; 1:58am	Date and Time
20.000000	selected threshold
1896779	total input reads
1612185	successfully extracted
85.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2748	low complexity
281846	match artifacts:
47840	Nextera_501
8208	Nextera_502
207716	Nextera_503
3	Nextera_504
3	Nextera_505
6	Nextera_506
8	Nextera_507
82	Nextera_508
23	Nextera_701
1	Nextera_501_Reversed:
1	Nextera_502_Reversed:
4	Nextera_503_Reversed:
2	Nextera_506_Reversed:
48	rRNA_5.8S
245	rRNA_18S
192	rRNA_28S
13849	EC2_RNA_SPIKE_1_(750_bp)
533	EC15_RNA_SPIKE_4_(1000_bp)
213	EC18_RNA_SPIKE_7_(1474bp)
2118	HPV18
751	HPV18_as
