../DDBJ/1772-067-039_G05.1.fastq.bz2	Input file name.
04-11-2015;12:51pm	Date and Time
20.000000	selected threshold
1538393	total input reads
1365349	successfully extracted
88.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7334	low complexity
165710	match artifacts:
35888	Nextera_701
40	Nextera_702
157	Nextera_703
9	Nextera_704
125175	Nextera_705
15	Nextera_706
7	Nextera_707
3	Nextera_708
20	Nextera_709
12	Nextera_710
11	Nextera_711
31	Nextera_712
2	Nextera_701_Reversed:
1	Nextera_703_Reversed:
91	Nextera_705_Reversed:
1	Nextera_706_Reversed:
1	Nextera_707_Reversed:
1	Nextera_711_Reversed:
1	Nextera_712_Reversed:
617	rRNA_18S
70	rRNA_28S
191	EC2_RNA_SPIKE_1_(750_bp)
17	EC15_RNA_SPIKE_4_(1000_bp)
2573	HPV18
776	HPV18_as
