../DDBJ/1772-062-248_F11.2.fastq.bz2	Input file name.
04-10-2015; 7:13pm	Date and Time
20.000000	selected threshold
2191625	total input reads
1917943	successfully extracted
87.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4731	low complexity
268951	match artifacts:
42525	Nextera_501
2164	Nextera_502
11	Nextera_503
8077	Nextera_504
29	Nextera_505
182059	Nextera_506
100	Nextera_507
11	Nextera_508
45	Nextera_701
1	Nextera_504_Reversed:
4414	rRNA_18S
321	rRNA_28S
18198	EC2_RNA_SPIKE_1_(750_bp)
1628	EC15_RNA_SPIKE_4_(1000_bp)
156	EC18_RNA_SPIKE_7_(1474bp)
6792	HPV18
2420	HPV18_as
