../DDBJ/1772-062-249_H03.2.fastq.bz2	Input file name.
04-11-2015;12:15am	Date and Time
20.000000	selected threshold
754023	total input reads
698015	successfully extracted
92.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2252	low complexity
53756	match artifacts:
6708	Nextera_501
2268	Nextera_502
1171	Nextera_503
4	Nextera_505
5	Nextera_506
1	Nextera_507
29333	Nextera_508
18	Nextera_701
1	Nextera_503_Reversed:
4	rRNA_5.8S
2179	rRNA_18S
114	rRNA_28S
6973	EC2_RNA_SPIKE_1_(750_bp)
459	EC15_RNA_SPIKE_4_(1000_bp)
119	EC18_RNA_SPIKE_7_(1474bp)
3329	HPV18
1070	HPV18_as
