../DDBJ/1772-067-039_H09.2.fastq.bz2	Input file name.
04-11-2015; 1:35pm	Date and Time
20.000000	selected threshold
1349559	total input reads
1226842	successfully extracted
90.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5860	low complexity
116857	match artifacts:
22665	Nextera_501
5693	Nextera_502
4094	Nextera_503
9	Nextera_504
25	Nextera_505
29	Nextera_506
6	Nextera_507
79546	Nextera_508
3	Nextera_701
1	Nextera_506_Reversed:
8	rRNA_5.8S
894	rRNA_18S
75	rRNA_28S
158	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
2570	HPV18
1080	HPV18_as
