../DDBJ/1772-064-103_B05.2.fastq.bz2	Input file name.
04-11-2015; 1:30am	Date and Time
20.000000	selected threshold
1800792	total input reads
1551121	successfully extracted
86.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1632	low complexity
248039	match artifacts:
38858	Nextera_501
197855	Nextera_502
25	Nextera_503
11	Nextera_504
8	Nextera_505
13	Nextera_506
2	Nextera_507
5	Nextera_508
24	Nextera_701
3	Nextera_502_Reversed:
1	Nextera_505_Reversed:
1	rRNA_5.8S
361	rRNA_18S
34	rRNA_28S
7789	EC2_RNA_SPIKE_1_(750_bp)
516	EC15_RNA_SPIKE_4_(1000_bp)
26	EC18_RNA_SPIKE_7_(1474bp)
1861	HPV18
646	HPV18_as
