../DDBJ/1772-062-249_C01.2.fastq.bz2	Input file name.
04-10-2015; 9:54pm	Date and Time
20.000000	selected threshold
1393022	total input reads
1245164	successfully extracted
89.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2413	low complexity
145445	match artifacts:
19368	Nextera_501
3139	Nextera_502
77450	Nextera_503
1	Nextera_504
1	Nextera_505
1	Nextera_507
218	Nextera_508
12	Nextera_701
1	Nextera_503_Reversed:
5	rRNA_5.8S
4609	rRNA_18S
258	rRNA_28S
30893	EC2_RNA_SPIKE_1_(750_bp)
2089	EC15_RNA_SPIKE_4_(1000_bp)
389	EC18_RNA_SPIKE_7_(1474bp)
5254	HPV18
1757	HPV18_as
