../DDBJ/1772-062-249_C06.2.fastq.bz2	Input file name.
04-10-2015;10:05pm	Date and Time
20.000000	selected threshold
1103746	total input reads
989649	successfully extracted
89.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1380	low complexity
112717	match artifacts:
19561	Nextera_501
3078	Nextera_502
80068	Nextera_503
1	Nextera_505
1	Nextera_506
3	Nextera_507
174	Nextera_508
27	Nextera_701
1	Nextera_506_Reversed:
1054	rRNA_18S
47	rRNA_28S
5038	EC2_RNA_SPIKE_1_(750_bp)
473	EC15_RNA_SPIKE_4_(1000_bp)
30	EC18_RNA_SPIKE_7_(1474bp)
2403	HPV18
758	HPV18_as
