../DDBJ/1772-062-249_D01.2.fastq.bz2	Input file name.
04-10-2015;10:24pm	Date and Time
20.000000	selected threshold
814057	total input reads
746043	successfully extracted
91.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1071	low complexity
66943	match artifacts:
9644	Nextera_501
49	Nextera_502
45604	Nextera_504
751	Nextera_505
3	Nextera_506
1	Nextera_507
12	Nextera_701
2	Nextera_504_Reversed:
1	Nextera_507_Reversed:
1526	rRNA_18S
76	rRNA_28S
6263	EC2_RNA_SPIKE_1_(750_bp)
465	EC15_RNA_SPIKE_4_(1000_bp)
11	EC18_RNA_SPIKE_7_(1474bp)
1897	HPV18
638	HPV18_as
