../DDBJ/1772-067-039_A11.2.fastq.bz2	Input file name.
04-11-2015;10:30am	Date and Time
20.000000	selected threshold
1223352	total input reads
1099784	successfully extracted
89.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6240	low complexity
117328	match artifacts:
112277	Nextera_501
61	Nextera_502
9	Nextera_503
195	Nextera_504
70	Nextera_505
5	Nextera_508
4	Nextera_701
2	rRNA_5.8S
551	rRNA_18S
71	rRNA_28S
93	EC2_RNA_SPIKE_1_(750_bp)
2775	HPV18
1215	HPV18_as
