../DDBJ/1772-067-038_G12.2.fastq.bz2	Input file name.
04-11-2015; 9:41am	Date and Time
20.000000	selected threshold
7190	total input reads
3892	successfully extracted
54.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
287	low complexity
3011	match artifacts:
176	Nextera_501
3	Nextera_502
1	Nextera_503
39	Nextera_504
2	Nextera_505
29	Nextera_506
597	Nextera_507
1	rRNA_18S
2101	EC2_RNA_SPIKE_1_(750_bp)
4	EC3_RNA_SPIKE_3_(1000_bp)
50	EC15_RNA_SPIKE_4_(1000_bp)
1	EC13_RNA_SPIKE_6_(1250_bp)
5	EC18_RNA_SPIKE_7_(1474bp)
2	HPV18
