../DDBJ/1772-067-039_F01.1.fastq.bz2	Input file name.
04-11-2015;12:14pm	Date and Time
20.000000	selected threshold
1289282	total input reads
1152329	successfully extracted
89.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9197	low complexity
127756	match artifacts:
123918	Nextera_701
16	Nextera_702
18	Nextera_703
9	Nextera_704
1	Nextera_705
27	Nextera_706
7	Nextera_708
1	Nextera_709
10	Nextera_710
5	Nextera_711
40	Nextera_712
60	Nextera_701_Reversed:
1	Nextera_703_Reversed:
2	Nextera_704_Reversed:
2	Nextera_709_Reversed:
2	Nextera_711_Reversed:
4	Nextera_712_Reversed:
1	rRNA_5.8S
393	rRNA_18S
40	rRNA_28S
127	EC2_RNA_SPIKE_1_(750_bp)
2	EC15_RNA_SPIKE_4_(1000_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
2405	HPV18
664	HPV18_as
