../DDBJ/1772-064-103_B11.2.fastq.bz2	Input file name.
04-11-2015; 1:51am	Date and Time
20.000000	selected threshold
2113373	total input reads
1702317	successfully extracted
80.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1985	low complexity
409071	match artifacts:
58271	Nextera_501
314735	Nextera_502
24	Nextera_503
28	Nextera_504
12	Nextera_505
25	Nextera_506
7	Nextera_507
11	Nextera_508
17	Nextera_701
1	Nextera_501_Reversed:
5	Nextera_502_Reversed:
1	Nextera_504_Reversed:
3	Nextera_506_Reversed:
10	rRNA_5.8S
195	rRNA_18S
205	rRNA_28S
28497	EC2_RNA_SPIKE_1_(750_bp)
2504	EC15_RNA_SPIKE_4_(1000_bp)
76	EC18_RNA_SPIKE_7_(1474bp)
3097	HPV18
1347	HPV18_as
