../DDBJ/1772-067-038_A08.2.fastq.bz2	Input file name.
04-11-2015; 6:11am	Date and Time
20.000000	selected threshold
1413886	total input reads
1299260	successfully extracted
91.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7065	low complexity
107561	match artifacts:
104172	Nextera_501
25	Nextera_502
8	Nextera_503
42	Nextera_504
30	Nextera_505
3	Nextera_506
3	Nextera_507
9	Nextera_701
47	rRNA_18S
13	rRNA_28S
227	EC2_RNA_SPIKE_1_(750_bp)
13	EC15_RNA_SPIKE_4_(1000_bp)
2154	HPV18
815	HPV18_as
