../DDBJ/1772-062-249_D09.1.fastq.bz2	Input file name.
04-10-2015;10:38pm	Date and Time
20.000000	selected threshold
1153820	total input reads
1030423	successfully extracted
89.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1601	low complexity
121796	match artifacts:
19162	Nextera_701
168	Nextera_702
2	Nextera_703
37	Nextera_704
3001	Nextera_705
3	Nextera_706
28	Nextera_707
1	Nextera_708
82447	Nextera_709
4	Nextera_710
7	Nextera_711
20	Nextera_712
1	Nextera_701_Reversed:
1	Nextera_703_Reversed:
3	Nextera_704_Reversed:
3	Nextera_705_Reversed:
39	Nextera_706_Reversed:
403	Nextera_709_Reversed:
1	Nextera_710_Reversed:
17	Nextera_711_Reversed:
19	Nextera_712_Reversed:
2	rRNA_5.8S
1913	rRNA_18S
73	rRNA_28S
7615	EC2_RNA_SPIKE_1_(750_bp)
628	EC15_RNA_SPIKE_4_(1000_bp)
39	EC18_RNA_SPIKE_7_(1474bp)
4683	HPV18
1476	HPV18_as
