../DDBJ/1772-067-038_B05.2.fastq.bz2	Input file name.
04-11-2015; 6:39am	Date and Time
20.000000	selected threshold
1550632	total input reads
1424573	successfully extracted
91.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9139	low complexity
116920	match artifacts:
25119	Nextera_501
90945	Nextera_502
62	Nextera_503
4	Nextera_504
10	Nextera_505
8	Nextera_506
1	Nextera_507
2	Nextera_508
1	Nextera_701
1	Nextera_502_Reversed:
86	rRNA_18S
11	rRNA_28S
180	EC2_RNA_SPIKE_1_(750_bp)
345	HPV18
145	HPV18_as
