../DDBJ/1772-067-039_C09.2.fastq.bz2	Input file name.
04-11-2015;11:12am	Date and Time
20.000000	selected threshold
1424736	total input reads
1273346	successfully extracted
89.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6209	low complexity
145181	match artifacts:
30383	Nextera_501
6097	Nextera_502
104294	Nextera_503
1	Nextera_504
4	Nextera_505
4	Nextera_506
1	Nextera_507
105	Nextera_508
7	Nextera_701
1	Nextera_506_Reversed:
1	rRNA_5.8S
298	rRNA_18S
53	rRNA_28S
53	EC2_RNA_SPIKE_1_(750_bp)
3	EC15_RNA_SPIKE_4_(1000_bp)
2708	HPV18
1168	HPV18_as
