../DDBJ/1772-062-249_A12.2.fastq.bz2	Input file name.
04-10-2015; 9:27pm	Date and Time
20.000000	selected threshold
1989831	total input reads
1763117	successfully extracted
88.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
993	low complexity
225721	match artifacts:
199571	Nextera_501
12	Nextera_502
11	Nextera_503
5	Nextera_504
88	Nextera_505
1	Nextera_506
5	Nextera_507
8	Nextera_508
29	Nextera_701
3	Nextera_501_Reversed:
1	Nextera_503_Reversed:
1	Nextera_507_Reversed:
1	rRNA_5.8S
4261	rRNA_18S
193	rRNA_28S
17213	EC2_RNA_SPIKE_1_(750_bp)
1525	EC15_RNA_SPIKE_4_(1000_bp)
222	EC18_RNA_SPIKE_7_(1474bp)
1969	HPV18
602	HPV18_as
