../DDBJ/1772-067-039_H05.1.fastq.bz2	Input file name.
04-11-2015; 1:24pm	Date and Time
20.000000	selected threshold
5499	total input reads
3325	successfully extracted
60.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
452	low complexity
1722	match artifacts:
175	Nextera_701
3	Nextera_702
8	Nextera_703
10	Nextera_704
572	Nextera_705
10	Nextera_706
5	Nextera_707
6	Nextera_708
23	Nextera_709
2	Nextera_710
10	Nextera_711
12	Nextera_712
2	Nextera_702_Reversed:
4	Nextera_703_Reversed:
130	Nextera_705_Reversed:
2	Nextera_707_Reversed:
1	Nextera_709_Reversed:
2	Nextera_712_Reversed:
1	rRNA_28S
736	EC2_RNA_SPIKE_1_(750_bp)
3	EC15_RNA_SPIKE_4_(1000_bp)
2	EC18_RNA_SPIKE_7_(1474bp)
2	HPV18
1	HPV18_as
