../DDBJ/1772-064-103_C07.2.fastq.bz2	Input file name.
04-11-2015; 2:21am	Date and Time
20.000000	selected threshold
2075357	total input reads
1708013	successfully extracted
82.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2234	low complexity
365110	match artifacts:
61238	Nextera_501
10453	Nextera_502
270400	Nextera_503
7	Nextera_504
11	Nextera_505
16	Nextera_506
5	Nextera_507
95	Nextera_508
31	Nextera_701
2	Nextera_501_Reversed:
1	Nextera_502_Reversed:
9	Nextera_503_Reversed:
1	Nextera_506_Reversed:
2	rRNA_5.8S
388	rRNA_18S
192	rRNA_28S
19434	EC2_RNA_SPIKE_1_(750_bp)
1140	EC15_RNA_SPIKE_4_(1000_bp)
1203	HPV18
482	HPV18_as
