../DDBJ/1772-067-038_H01.2.fastq.bz2	Input file name.
04-11-2015; 9:44am	Date and Time
20.000000	selected threshold
1568363	total input reads
1431409	successfully extracted
91.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8502	low complexity
128452	match artifacts:
24996	Nextera_501
6294	Nextera_502
4572	Nextera_503
2	Nextera_504
23	Nextera_505
19	Nextera_506
1	Nextera_507
89705	Nextera_508
4	Nextera_701
1	Nextera_506_Reversed:
3	rRNA_5.8S
115	rRNA_18S
7	rRNA_28S
213	EC2_RNA_SPIKE_1_(750_bp)
38	EC15_RNA_SPIKE_4_(1000_bp)
1759	HPV18
700	HPV18_as
