../DDBJ/1772-062-249_C08.2.fastq.bz2	Input file name.
04-10-2015;10:11pm	Date and Time
20.000000	selected threshold
1225893	total input reads
1098206	successfully extracted
89.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1494	low complexity
126193	match artifacts:
18933	Nextera_501
3077	Nextera_502
76221	Nextera_503
1	Nextera_504
5	Nextera_505
1	Nextera_506
1	Nextera_507
176	Nextera_508
18	Nextera_701
1	Nextera_502_Reversed:
1	Nextera_505_Reversed:
1	Nextera_506_Reversed:
10	rRNA_5.8S
4344	rRNA_18S
240	rRNA_28S
14065	EC2_RNA_SPIKE_1_(750_bp)
1060	EC15_RNA_SPIKE_4_(1000_bp)
120	EC18_RNA_SPIKE_7_(1474bp)
5922	HPV18
1996	HPV18_as
