../DDBJ/1772-067-039_C09.1.fastq.bz2	Input file name.
04-11-2015;11:10am	Date and Time
20.000000	selected threshold
1424736	total input reads
1232396	successfully extracted
86.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5240	low complexity
187100	match artifacts:
38586	Nextera_701
106	Nextera_702
13	Nextera_703
58	Nextera_704
5913	Nextera_705
26	Nextera_706
21	Nextera_707
12	Nextera_708
137913	Nextera_709
12	Nextera_710
32	Nextera_711
55	Nextera_712
2	Nextera_701_Reversed:
1	Nextera_703_Reversed:
2	Nextera_704_Reversed:
6	Nextera_705_Reversed:
2	Nextera_706_Reversed:
64	Nextera_709_Reversed:
2	Nextera_711_Reversed:
2	Nextera_712_Reversed:
318	rRNA_18S
49	rRNA_28S
57	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
2853	HPV18
994	HPV18_as
