../DDBJ/1772-067-038_B01.2.fastq.bz2	Input file name.
04-11-2015; 6:26am	Date and Time
20.000000	selected threshold
1581400	total input reads
1457241	successfully extracted
92.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9666	low complexity
114493	match artifacts:
25192	Nextera_501
87762	Nextera_502
54	Nextera_503
7	Nextera_504
8	Nextera_505
10	Nextera_506
1	Nextera_507
3	Nextera_508
4	Nextera_701
1	Nextera_502_Reversed:
7	rRNA_5.8S
46	rRNA_18S
9	rRNA_28S
177	EC2_RNA_SPIKE_1_(750_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
862	HPV18
349	HPV18_as
