../DDBJ/1772-064-103_H07.2.fastq.bz2	Input file name.
04-11-2015; 5:40am	Date and Time
20.000000	selected threshold
1706058	total input reads
1455182	successfully extracted
85.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1680	low complexity
249196	match artifacts:
36302	Nextera_501
13095	Nextera_502
6567	Nextera_503
6	Nextera_504
11	Nextera_505
16	Nextera_506
7	Nextera_507
175839	Nextera_508
25	Nextera_701
2	Nextera_502_Reversed:
1	Nextera_503_Reversed:
2	Nextera_506_Reversed:
1	Nextera_507_Reversed:
5	Nextera_508_Reversed:
8	rRNA_5.8S
171	rRNA_18S
96	rRNA_28S
12100	EC2_RNA_SPIKE_1_(750_bp)
684	EC15_RNA_SPIKE_4_(1000_bp)
14	EC18_RNA_SPIKE_7_(1474bp)
3134	HPV18
1110	HPV18_as
