../DDBJ/1772-062-249_C11.2.fastq.bz2	Input file name.
04-10-2015;10:19pm	Date and Time
20.000000	selected threshold
1778840	total input reads
1536380	successfully extracted
86.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
803	low complexity
241657	match artifacts:
40287	Nextera_501
6170	Nextera_502
169675	Nextera_503
5	Nextera_504
6	Nextera_505
5	Nextera_506
6	Nextera_507
340	Nextera_508
31	Nextera_701
4	Nextera_502_Reversed:
2	Nextera_503_Reversed:
1	Nextera_504_Reversed:
2142	rRNA_18S
99	rRNA_28S
9850	EC2_RNA_SPIKE_1_(750_bp)
881	EC15_RNA_SPIKE_4_(1000_bp)
12	EC18_RNA_SPIKE_7_(1474bp)
9250	HPV18
2891	HPV18_as
