../DDBJ/1772-064-103_H04.2.fastq.bz2	Input file name.
04-11-2015; 5:30am	Date and Time
20.000000	selected threshold
1879728	total input reads
1549649	successfully extracted
82.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1876	low complexity
328203	match artifacts:
45925	Nextera_501
17435	Nextera_502
8293	Nextera_503
6	Nextera_504
20	Nextera_505
18	Nextera_506
6	Nextera_507
227110	Nextera_508
29	Nextera_701
1	Nextera_501_Reversed:
3	Nextera_503_Reversed:
2	Nextera_505_Reversed:
4	Nextera_506_Reversed:
7	Nextera_508_Reversed:
5	rRNA_5.8S
110	rRNA_18S
64	rRNA_28S
23880	EC2_RNA_SPIKE_1_(750_bp)
7	EC3_RNA_SPIKE_3_(1000_bp)
1311	EC15_RNA_SPIKE_4_(1000_bp)
33	EC18_RNA_SPIKE_7_(1474bp)
2902	HPV18
1032	HPV18_as
