../DDBJ/1772-067-039_F04.2.fastq.bz2	Input file name.
04-11-2015;12:23pm	Date and Time
20.000000	selected threshold
1278702	total input reads
1173198	successfully extracted
91.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7442	low complexity
98062	match artifacts:
21247	Nextera_501
358	Nextera_502
21	Nextera_503
4029	Nextera_504
8	Nextera_505
66620	Nextera_506
26	Nextera_507
6	Nextera_508
10	Nextera_701
1	Nextera_506_Reversed:
2	rRNA_5.8S
608	rRNA_18S
69	rRNA_28S
220	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
3426	HPV18
1410	HPV18_as
