"run","well","row","column","concentration"
"1772-062-249","H09","H","09",2.474
"1772-062-249","A10","A","10",2.911
"1772-062-249","B10","B","10",0.232
"1772-062-249","C10","C","10",2.651
"1772-062-249","D10","D","10",0.24
"1772-062-249","E10","E","10",2.089
"1772-062-249","F10","F","10",2.689
"1772-062-249","G10","G","10",0.252
"1772-062-249","H10","H","10",0.171
"1772-062-249","A11","A","11",2.1
"1772-062-249","B11","B","11",0.235
"1772-062-249","C11","C","11",3.033
"1772-062-249","D11","D","11",2.119
"1772-062-249","E11","E","11",2.099
"1772-062-249","F11","F","11",2.442
"1772-062-249","G11","G","11",1.43
"1772-062-249","H11","H","11",2.187
"1772-062-249","A12","A","12",1.979
"1772-062-249","B12","B","12",2.254
"1772-062-249","C12","C","12",2.155
"1772-062-249","D12","D","12",2.425
"1772-062-249","E12","E","12",1.461
"1772-062-249","F12","F","12",1.969
"1772-062-249","G12","G","12",2.067
"1772-062-249","H12","H","12",0.212
"1772-064-103","A01","A","01",0.229
"1772-064-103","B01","B","01",0.556
"1772-064-103","C01","C","01",0.329
"1772-064-103","D01","D","01",0.391
"1772-064-103","E01","E","01",0.309
"1772-064-103","F01","F","01",0.263
"1772-064-103","G01","G","01",0.314
"1772-064-103","H01","H","01",0.084
"1772-064-103","A02","A","02",0.179
"1772-064-103","B02","B","02",0.263
"1772-064-103","C02","C","02",0.327
"1772-064-103","D02","D","02",0.26
"1772-064-103","E02","E","02",0.233
"1772-064-103","F02","F","02",0.308
"1772-064-103","G02","G","02",0.397
"1772-064-103","H02","H","02",0.223
"1772-064-103","A03","A","03",0.261
"1772-064-103","B03","B","03",0.234
"1772-064-103","C03","C","03",0.274
"1772-064-103","D03","D","03",0.43
"1772-064-103","E03","E","03",0.173
"1772-064-103","F03","F","03",0.285
"1772-064-103","G03","G","03",0.228
"1772-064-103","H03","H","03",0.173
"1772-064-103","A04","A","04",0.416
"1772-064-103","B04","B","04",0.228
"1772-064-103","C04","C","04",0.253
"1772-064-103","D04","D","04",0.102
"1772-064-103","E04","E","04",0.344
"1772-064-103","F04","F","04",0.378
"1772-064-103","G04","G","04",0.273
"1772-064-103","H04","H","04",0.205
"1772-064-103","A05","A","05",0.215
"1772-064-103","B05","B","05",0.405
"1772-064-103","C05","C","05",0.361
"1772-064-103","D05","D","05",0.28
"1772-064-103","E05","E","05",0.234
"1772-064-103","F05","F","05",0.461
"1772-064-103","G05","G","05",0.339
"1772-064-103","H05","H","05",0.297
"1772-064-103","A06","A","06",0.274
"1772-064-103","B06","B","06",0.442
"1772-064-103","C06","C","06",0.524
"1772-064-103","D06","D","06",0.577
"1772-064-103","E06","E","06",0.338
"1772-064-103","F06","F","06",0.297
"1772-064-103","G06","G","06",0.399
"1772-064-103","H06","H","06",0.262
"1772-064-103","A07","A","07",0.251
"1772-064-103","B07","B","07",0.324
"1772-064-103","C07","C","07",0.251
"1772-064-103","D07","D","07",0.316
"1772-064-103","E07","E","07",0.564
"1772-064-103","F07","F","07",0.206
"1772-064-103","G07","G","07",0.38
"1772-064-103","H07","H","07",0.255
"1772-064-103","A08","A","08",0.272
"1772-064-103","B08","B","08",0.286
"1772-064-103","C08","C","08",0.241
"1772-064-103","D08","D","08",0.161
"1772-064-103","E08","E","08",0.28
"1772-064-103","F08","F","08",0.083
"1772-064-103","G08","G","08",0.159
"1772-064-103","H08","H","08",0.162
"1772-064-103","A09","A","09",0.213
