"Label" "Cellcoord.X" "Cellcoord.Y" "area" "mean.ch2" "std.ch2" "min.ch2" "max.ch2" "BGcoord.ch2.X" "BGcoord.ch2.Y" "bg.area.ch2" "bg.mean.ch2" "bg.std.ch2" "bg.min.ch2" "bg.max.ch2" "area.ch3" "mean.ch3" "std.ch3" "min.ch3" "max.ch3" "BGcoord.ch3.X" "BGcoord.ch3.Y" "bg.area.ch3" "bg.mean.ch3" "bg.std.ch3" "bg.min.ch3" "bg.max.ch3" "Error" "Comment" "Well" "Run" "discard" "r.mean.ch2" "r.mean.ch3"
"32" "1772-062-248_C08" 250 250 227.982 16.416 4.415 6 28 200 300 227.982 17.204 4.81 7 30 227.982 17.547 4.6 4 29 200 300 227.982 16.599 4.724 6 30 "3-OutOfFocus" "No comment" "C08" "1772-062-248" TRUE -0.314177419354838 0.203500000000002
"33" "1772-062-248_C09" 330 250 227.982 26.693 6.269 14 43 280 300 227.982 16.255 4.583 6 29 227.982 124.934 57.827 27 252 280 300 227.982 16.818 4.533 6 32 "0-No Error" "No comment" "C09" "1772-062-248" FALSE 9.96282258064516 107.5905
"34" "1772-062-248_C10" 329 250 227.982 16.861 4.544 5 29 279 300 227.982 15.613 4.274 5 24 227.982 16.672 4.429 6 26 279 300 227.982 17.474 4.183 7 32 "3-OutOfFocus" "No comment" "C10" "1772-062-248" TRUE 0.130822580645162 -0.671499999999998
"35" "1772-062-248_C11" 358 249 227.982 16.401 4.517 5 27 308 299 227.982 16.869 4.404 4 29 227.982 17.474 5.06 3 30 308 299 227.982 16.672 4.868 5 30 "1-No cell" "No comment" "C11" "1772-062-248" TRUE -0.329177419354838 0.130500000000001
"36" "1772-062-248_C12" 325 249 227.982 38.022 15.427 10 80 275 299 227.982 16.693 4.323 6 27 227.982 90.971 54.569 21 219 275 299 227.982 17.255 4.317 6 28 "0-No Error" "No comment" "C12" "1772-062-248" FALSE 21.2918225806452 73.6275
"37" "1772-062-248_D01" 360 250 227.982 18.869 4.802 8 31 310 300 227.982 16.978 4.025 6 26 227.982 46.146 6.897 29 62 310 300 227.982 16.818 4.568 4 29 "3-OutOfFocus" "No comment" "D01" "1772-062-248" TRUE 2.13882258064516 28.8025
"38" "1772-062-248_D02" 329 250 227.982 25.496 8.432 10 48 279 300 227.982 15.993 4.622 4 30 227.982 75.277 40.684 17 179 279 300 227.982 17.292 4.159 9 30 "0-No Error" "No comment" "D02" "1772-062-248" FALSE 8.76582258064516 57.9335
"39" "1772-062-248_D03" 359 249 227.982 34.409 15.956 10 72 309 299 227.982 17.35 4.542 5 28 227.982 57.65 34.362 13 148 309 299 227.982 17.526 3.996 9 29 "0-No Error" "No comment" "D03" "1772-062-248" FALSE 17.6788225806452 40.3065
"40" "1772-062-248_D04" 357 249 227.982 25.248 8.09 6 46 307 299 227.982 16.584 4.606 5 26 227.982 113.073 87.844 10 315 307 299 227.982 17.788 4.381 8 33 "0-No Error" "No comment" "D04" "1772-062-248" FALSE 8.51782258064516 95.7295
"41" "1772-062-248_D05" 325 250 227.982 68.92 39.269 11 158 275 300 227.982 16.482 4.145 7 29 227.982 67.285 39.515 13 153 275 300 227.982 18.029 4.249 8 33 "0-No Error" "No comment" "D05" "1772-062-248" FALSE 52.1898225806452 49.9415
"42" "1772-062-248_D06" 357 250 227.982 20.131 4.419 8 32 307 300 227.982 17.015 4.605 4 26 227.982 31.453 5.61 19 46 307 300 227.982 17.365 4.419 5 28 "3-OutOfFocus" "No comment" "D06" "1772-062-248" TRUE 3.40082258064516 14.1095
"43" "1772-062-248_D07" 327 249 227.982 15.416 4.746 2 28 277 299 227.982 15.212 4.238 5 26 227.982 15.489 4.339 3 27 277 299 227.982 15.708 4.919 5 26 "1-No cell" "No comment" "D07" "1772-062-248" TRUE -1.31417741935484 -1.8545
"44" "1772-062-248_D08" 359 248 227.982 20.599 4.642 9 33 309 298 227.982 16.445 4.74 4 35 227.982 33.146 5.534 17 57 309 298 227.982 16.387 4.21 5 26 "3-OutOfFocus" "No comment" "D08" "1772-062-248" TRUE 3.86882258064516 15.8025
"45" "1772-062-248_D09" 326 249 227.982 68.161 27.559 27 129 276 299 227.982 16.584 4.46 4 26 227.982 177.029 94.047 29 379 276 299 227.982 17.511 4.697 5 31 "2-Debris" "No comment" "D09" "1772-062-248" TRUE 51.4308225806452 159.6855
"46" "1772-062-248_D10" 325 248 227.982 75.708 47.647 12 201 275 298 227.982 15.993 4.438 5 26 227.982 114.62 88.373 16 352 275 298 227.982 17.19 4.891 5 31 "0-No Error" "No comment" "D10" "1772-062-248" FALSE 58.9778225806452 97.2765
"47" "1772-062-248_D11" 358 248 227.982 16.642 5.213 7 33 308 298 227.982 16 4.011 5 25 227.982 16.299 4.978 4 32 308 298 227.982 15.54 4.529 4 25 "1-No cell" "No comment" "D11" "1772-062-248" TRUE -0.0881774193548388 -1.0445
"48" "1772-062-248_D12" 325 250 227.982 21.511 5.779 4 40 275 300 227.982 15.161 4.115 6 25 227.982 16.533 4.661 5 29 275 300 227.982 16.182 4.775 1 29 "0-No Error" "No comment" "D12" "1772-062-248" FALSE 4.78082258064516 -0.810499999999998
"49" "1772-062-248_E01" 361 249 227.982 36.058 13.802 9 66 311 299 227.982 16.591 4.486 6 33 227.982 105.19 55.198 21 234 311 299 227.982 16.088 4.168 2 25 "4-MultipleCells" "No comment" "E01" "1772-062-248" TRUE 19.3278225806452 87.8465
"50" "1772-062-248_E02" 328 249 227.982 23.635 5.051 10 37 278 299 227.982 15.869 4.638 4 27 227.982 57.518 8.58 35 78 278 299 227.982 16.803 4.67 3 31 "0-No Error" "No comment" "E02" "1772-062-248" FALSE 6.90482258064516 40.1745
"51" "1772-062-248_E03" 358 247 227.982 17.956 4.632 5 31 308 297 227.982 15.92 4.494 3 27 227.982 39.788 9.634 19 64 308 297 227.982 16.766 4.79 4 31 "0-No Error" "No comment" "E03" "1772-062-248" FALSE 1.22582258064516 22.4445
"52" "1772-062-248_E04" 356 248 227.982 15.869 4.478 0 27 306 298 227.982 16.934 4.471 6 29 227.982 16.599 4.548 3 27 306 298 227.982 17.796 4.605 6 32 "1-No cell" "No comment" "E04" "1772-062-248" TRUE -0.861177419354838 -0.744499999999999
"53" "1772-062-248_E05" 324 249 227.982 29.299 6.42 15 45 274 299 227.982 15.474 4.152 3 27 227.982 69.81 15.43 32 110 274 299 227.982 16.65 4.326 4 27 "4-MultipleCells" "No comment" "E05" "1772-062-248" TRUE 12.5688225806452 52.4665
"54" "1772-062-248_E06" 357 249 227.982 23.409 6.43 11 39 307 299 227.982 15.416 4.41 3 25 227.982 65.343 26.533 19 128 307 299 227.982 16.226 4.619 7 32 "0-No Error" "No comment" "E06" "1772-062-248" FALSE 6.67882258064516 47.9995
"55" "1772-062-248_E08" 358 248 227.982 22.073 6.674 7 43 308 298 227.982 16.431 4.951 7 33 227.982 124.869 101.607 9 350 308 298 227.982 18.599 4.261 9 29 "0-No Error" "No comment" "E08" "1772-062-248" FALSE 5.34282258064516 107.5255
"56" "1772-062-248_E09" 326 248 227.982 27.657 5.78 12 44 276 298 227.982 19.569 4.558 7 33 227.982 43.832 7.864 28 60 276 298 227.982 18.299 4.714 6 31 "0-No Error" "No comment" "E09" "1772-062-248" FALSE 10.9268225806452 26.4885
"57" "1772-062-248_E10" 324 248 227.982 25.591 6.574 11 42 274 298 227.982 16.774 4.646 6 28 227.982 61.839 36.029 12 147 274 298 227.982 17.788 4.25 8 28 "0-No Error" "No comment" "E10" "1772-062-248" FALSE 8.86082258064516 44.4955
"58" "1772-062-248_E11" 355 248 227.982 70.438 20.623 19 114 305 298 227.982 17.007 4.891 4 34 227.982 105.453 35.265 32 177 305 298 227.982 17.584 4.524 7 31 "0-No Error" "No comment" "E11" "1772-062-248" FALSE 53.7078225806452 88.1095
"59" "1772-062-248_F01" 359 246 227.982 70.467 11.095 39 101 309 296 227.982 23.219 4.589 12 33 227.982 24.526 4.805 14 36 309 296 227.982 22.664 4.689 10 34 "0-No Error" "No comment" "F01" "1772-062-248" FALSE 53.7368225806452 7.1825
"60" "1772-062-248_F02" 326 247 227.982 21.715 4.885 9 34 294 161 227.982 17.81 3.931 7 27 227.982 50.474 7.904 30 79 271 157 227.982 18.153 4.524 6 32 "0-No Error" "BG change XY" "F02" "1772-062-248" FALSE 4.98482258064516 33.1305
"61" "1772-062-248_F05" 324 247 227.982 22.533 5.787 8 35 274 297 227.982 16.745 4.447 5 28 227.982 101.847 73.119 13 279 274 297 227.982 17.445 4.723 4 29 "0-No Error" "No comment" "F05" "1772-062-248" FALSE 5.80282258064516 84.5035
"62" "1772-062-248_F06" 356 248 227.982 22.073 4.829 8 33 306 298 227.982 17.263 4.163 5 30 227.982 62.555 11.535 39 92 306 298 227.982 17.54 4.246 8 28 "0-No Error" "No comment" "F06" "1772-062-248" FALSE 5.34282258064516 45.2115
"63" "1772-062-249_C07" 231 170 227.982 25.226 5.43 12 40 181 220 227.982 15.912 4.403 6 28 227.982 54.555 14.863 22 93 181 220 227.982 11.985 3.993 1 21 "0-No Error" "No comment" "C07" "1772-062-249" FALSE 9.00609677419355 42.6922741935484
"64" "1772-062-249_C08" 263 169 227.982 27.19 5.567 11 38 213 219 227.982 16.905 4.286 6 31 227.982 16.781 4.809 3 30 213 219 227.982 11.956 4.062 2 21 "0-No Error" "No comment" "C08" "1772-062-249" FALSE 10.9700967741936 4.91827419354839
"65" "1772-062-249_C11" 260 167 227.982 24.161 7.262 5 45 210 217 227.982 17.161 4.784 6 29 227.982 69.65 52.665 10 206 210 217 227.982 11.54 4.169 2 23 "0-No Error" "No comment" "C11" "1772-062-249" FALSE 7.94109677419355 57.7872741935484
"66" "1772-062-249_C12" 250 250 227.982 14.927 4.655 2 29 200 300 227.982 15.883 4.51 4 32 227.982 11.197 4.078 2 25 200 300 227.982 11.453 4.153 1 24 "3-OutOfFocus" "No comment" "C12" "1772-062-249" TRUE -1.29290322580645 -0.665725806451613
"67" "1772-062-249_D01" 262 169 227.982 68.971 39.141 13 162 212 219 227.982 16.241 4.361 7 27 227.982 54.416 43.692 7 159 212 219 227.982 11.226 4.434 1 21 "4-MultipleCells" "No comment" "D01" "1772-062-249" TRUE 52.7510967741936 42.5532741935484
"68" "1772-062-249_D02" 228 171 227.982 42.993 11.842 18 71 178 221 227.982 15.715 4.736 6 29 227.982 71.139 23.745 27 118 178 221 227.982 11.599 3.988 0 21 "0-No Error" "No comment" "D02" "1772-062-249" FALSE 26.7730967741936 59.2762741935484
"69" "1772-062-249_D03" 262 168 227.982 38.832 21.613 6 86 212 218 227.982 16.248 4.648 6 26 227.982 12.628 4.471 1 25 212 218 227.982 10.65 4.278 2 22 "4-MultipleCells" "No comment" "D03" "1772-062-249" TRUE 22.6120967741935 0.765274193548388
"70" "1772-062-249_D04" 258 168 227.982 24.642 6.212 11 43 208 218 227.982 16.759 4.226 8 28 227.982 60.752 23.322 17 127 208 218 227.982 12.161 4.479 0 26 "0-No Error" "No comment" "D04" "1772-062-249" FALSE 8.42209677419355 48.8892741935484
"71" "1772-062-249_D05" 227 169 227.982 45.153 24.164 9 102 177 219 227.982 15.927 4.63 4 28 227.982 48.182 31.581 5 137 177 219 227.982 12.701 3.934 0 22 "0-No Error" "No comment" "D05" "1772-062-249" FALSE 28.9330967741935 36.3192741935484
"72" "1772-062-249_D06" 258 167 227.982 16.255 5.009 3 29 208 217 227.982 16.453 4.739 7 28 227.982 11.146 4.221 0 23 208 217 227.982 12.234 4.217 2 22 "1-No cell" "No comment" "D06" "1772-062-249" TRUE 0.0350967741935477 -0.716725806451612
"73" "1772-062-249_D07" 229 171 227.982 25.949 6.66 11 45 179 221 227.982 16.102 4.67 7 29 227.982 27.255 8.944 7 50 179 221 227.982 12.051 4.639 3 26 "0-No Error" "No comment" "D07" "1772-062-249" FALSE 9.72909677419355 15.3922741935484
"74" "1772-062-249_D08" 259 170 227.982 23.299 7.994 10 47 209 220 227.982 17.182 4.353 6 30 227.982 21.088 9.882 1 49 209 220 227.982 10.942 4.693 1 21 "0-No Error" "No comment" "D08" "1772-062-249" FALSE 7.07909677419355 9.22527419354839
"75" "1772-062-249_D09" 230 171 227.982 20.978 5.19 9 35 180 221 227.982 15.562 4.779 2 29 227.982 35.015 10.272 11 57 180 221 227.982 11.533 4.308 0 21 "0-No Error" "No comment" "D09" "1772-062-249" FALSE 4.75809677419355 23.1522741935484
"76" "1772-062-249_D10" 225 170 227.982 16.19 4.021 4 26 175 220 227.982 16.307 4.402 4 27 227.982 10.394 4.226 0 20 175 220 227.982 11.657 4.322 2 24 "1-No cell" "No comment" "D10" "1772-062-249" TRUE -0.02990322580645 -1.46872580645161
"77" "1772-062-249_D11" 258 168 227.982 28.482 9.359 10 48 208 218 227.982 16.54 4.224 4 27 227.982 12.073 4.233 1 22 208 218 227.982 11.883 4.21 1 27 "4-MultipleCells" "No comment" "D11" "1772-062-249" TRUE 12.2620967741935 0.210274193548388
"78" "1772-062-249_D12" 226 169 227.982 35.482 7.499 13 54 176 219 227.982 15.65 5.017 6 26 227.982 12.204 4.226 2 22 176 219 227.982 12.307 4.008 3 22 "0-No Error" "No comment" "D12" "1772-062-249" FALSE 19.2620967741935 0.341274193548388
"79" "1772-062-249_E01" 260 169 227.982 39.832 15.853 14 82 210 219 227.982 19.095 4.597 7 33 227.982 17.131 6.814 2 40 210 219 227.982 11.62 4.462 1 24 "4-MultipleCells" "No comment" "E01" "1772-062-249" TRUE 23.6120967741935 5.26827419354839
"80" "1772-062-249_E02" 229 171 227.982 17.861 4.312 3 27 179 221 227.982 15.431 4.389 5 32 227.982 22.65 4.846 14 36 179 221 227.982 10.781 4.209 2 22 "0-No Error" "No comment" "E02" "1772-062-249" FALSE 1.64109677419355 10.7872741935484
"81" "1772-062-249_E03" 259 171 227.982 18.934 5.618 7 31 209 221 227.982 15.854 4.475 6 28 227.982 21.358 8.944 5 50 209 221 227.982 11.737 4.398 0 22 "0-No Error" "No comment" "E03" "1772-062-249" FALSE 2.71409677419355 9.49527419354839
"82" "1772-062-249_E04" 256 168 227.982 39.664 7.896 19 63 206 218 227.982 16.854 4.976 6 29 227.982 34.27 7.335 14 55 206 218 227.982 11.416 4.44 0 22 "0-No Error" "No comment" "E04" "1772-062-249" FALSE 23.4440967741936 22.4072741935484
"83" "1772-062-249_E05" 224 171 227.982 16.796 4.948 2 29 174 221 227.982 16.182 4.444 4 26 227.982 17.555 4.849 7 28 174 221 227.982 11.095 4.178 2 25 "3-OutOfFocus" "No comment" "E05" "1772-062-249" TRUE 0.576096774193548 5.69227419354839
"84" "1772-062-249_E06" 257 167 227.982 18.511 4.922 6 30 207 217 227.982 15.883 4.839 4 28 227.982 15.584 5.217 5 29 207 217 227.982 12.109 4.025 2 22 "2-Debris" "No comment" "E06" "1772-062-249" TRUE 2.29109677419355 3.72127419354839
"85" "1772-062-249_E08" 260 171 227.982 16.701 4.57 5 28 210 221 227.982 16.942 4.534 4 29 227.982 13.686 4.937 2 30 210 221 227.982 11.131 4.513 1 23 "0-No Error" "No comment" "E08" "1772-062-249" FALSE 0.481096774193549 1.82327419354839
"86" "1772-062-249_E09" 227 172 227.982 60.876 30.455 17 135 177 222 227.982 17.036 4.149 4 29 227.982 51.299 22.71 11 110 177 222 227.982 11.934 4.253 2 21 "0-No Error" "No comment" "E09" "1772-062-249" FALSE 44.6560967741935 39.4362741935484
"87" "1772-062-249_E10" 224 173 227.982 32.35 10.421 14 61 174 223 227.982 15.825 4.846 3 31 227.982 12.453 4.736 0 25 174 223 227.982 11.839 3.864 4 22 "0-No Error" "No comment" "E10" "1772-062-249" FALSE 16.1300967741936 0.590274193548387
"88" "1772-062-249_E11" 255 170 227.982 54.073 24.542 16 113 205 220 227.982 15.898 4.572 4 29 227.982 26.095 9.911 8 56 205 220 227.982 11.905 4.603 1 22 "0-No Error" "No comment" "E11" "1772-062-249" FALSE 37.8530967741935 14.2322741935484
"89" "1772-062-249_F01" 258 170 227.982 19.219 4.715 7 33 208 220 227.982 16.934 4.426 6 27 227.982 28.117 8.809 11 51 208 220 227.982 11.81 4.732 0 23 "0-No Error" "No comment" "F01" "1772-062-249" FALSE 2.99909677419355 16.2542741935484
"90" "1772-062-249_F02" 225 171 227.982 17.131 4.218 7 28 175 221 227.982 15.234 4.645 4 27 227.982 12.044 4.545 2 25 175 221 227.982 12.438 3.992 3 24 "3-OutOfFocus" "No comment" "F02" "1772-062-249" TRUE 0.911096774193549 0.181274193548388
"91" "1772-062-249_F03" 258 171 227.982 16.248 4.343 6 29 208 221 227.982 16.723 4.735 5 27 227.982 11.204 3.827 1 22 208 221 227.982 12.139 4.411 0 23 "1-No cell" "No comment" "F03" "1772-062-249" TRUE 0.0280967741935498 -0.658725806451612
"92" "1772-062-249_F04" 257 170 227.982 24.891 4.928 11 36 207 220 227.982 19.401 4.591 9 34 227.982 41.365 6.323 24 57 207 220 227.982 21.489 4.599 7 34 "3-OutOfFocus" "No comment" "F04" "1772-062-249" TRUE 8.67109677419355 29.5022741935484
"93" "1772-062-249_F05" 224 172 227.982 53.504 9.136 26 76 174 222 227.982 15.117 4.248 5 29 227.982 57.277 12.601 29 85 174 222 227.982 11.591 3.893 0 22 "0-No Error" "No comment" "F05" "1772-062-249" FALSE 37.2840967741935 45.4142741935484
"94" "1772-062-249_F06" 256 168 227.982 15.606 4.31 5 28 206 218 227.982 17.219 4.412 1 28 227.982 11.869 4.083 1 21 206 218 227.982 11.584 4.014 1 21 "1-No cell" "No comment" "F06" "1772-062-249" TRUE -0.613903225806451 0.00627419354838743
"95" "1772-062-249_F07" 228 174 227.982 17.248 4.619 5 29 178 224 227.982 14.956 4.59 2 26 227.982 14.964 5.513 0 30 178 224 227.982 11.285 4.263 0 23 "0-No Error" "No comment" "F07" "1772-062-249" FALSE 1.02809677419355 3.10127419354839
"96" "1772-062-249_F08" 257 171 227.982 41.664 13.481 17 74 207 221 227.982 15.832 4.383 6 28 227.982 44.781 18.29 15 88 207 221 227.982 9.701 3.971 1 21 "0-No Error" "No comment" "F08" "1772-062-249" FALSE 25.4440967741936 32.9182741935484
