 	Label	Cellcoord.X	Cellcoord.Y	area	mean.ch2	std.ch2	min.ch2	max.ch2	BGcoord.ch2.X	BGcoord.ch2.Y	bg.area.ch2	bg.mean.ch2	bg.std.ch2	bg.min.ch2	bg.max.ch2	area.ch3	mean.ch3	std.ch3	min.ch3	max.ch3	BGcoord.ch3.X	BGcoord.ch3.Y	bg.area.ch3	bg.mean.ch3	bg.std.ch3	bg.min.ch3	bg.max.ch3	Error	Comment
80	1772-062-249_E02	229	171	227.982	17.861	4.312	3	27	179	221	227.982	15.431	4.389	5	32	227.982	22.650	4.846	14	36	179	221	227.982	10.781	4.209	2	22	0-No Error	No comment
81	1772-062-249_E03	259	171	227.982	18.934	5.618	7	31	209	221	227.982	15.854	4.475	6	28	227.982	21.358	8.944	5	50	209	221	227.982	11.737	4.398	0	22	0-No Error	No comment
82	1772-062-249_E04	256	168	227.982	39.664	7.896	19	63	206	218	227.982	16.854	4.976	6	29	227.982	34.270	7.335	14	55	206	218	227.982	11.416	4.440	0	22	0-No Error	No comment
83	1772-062-249_E05	224	171	227.982	16.796	4.948	2	29	174	221	227.982	16.182	4.444	4	26	227.982	17.555	4.849	7	28	174	221	227.982	11.095	4.178	2	25	3-OutOfFocus	No comment
84	1772-062-249_E06	257	167	227.982	18.511	4.922	6	30	207	217	227.982	15.883	4.839	4	28	227.982	15.584	5.217	5	29	207	217	227.982	12.109	4.025	2	22	2-Debris	No comment
85	1772-062-249_E08	260	171	227.982	16.701	4.570	5	28	210	221	227.982	16.942	4.534	4	29	227.982	13.686	4.937	2	30	210	221	227.982	11.131	4.513	1	23	0-No Error	No comment
86	1772-062-249_E09	227	172	227.982	60.876	30.455	17	135	177	222	227.982	17.036	4.149	4	29	227.982	51.299	22.710	11	110	177	222	227.982	11.934	4.253	2	21	0-No Error	No comment
87	1772-062-249_E10	224	173	227.982	32.350	10.421	14	61	174	223	227.982	15.825	4.846	3	31	227.982	12.453	4.736	0	25	174	223	227.982	11.839	3.864	4	22	0-No Error	No comment
88	1772-062-249_E11	255	170	227.982	54.073	24.542	16	113	205	220	227.982	15.898	4.572	4	29	227.982	26.095	9.911	8	56	205	220	227.982	11.905	4.603	1	22	0-No Error	No comment
89	1772-062-249_F01	258	170	227.982	19.219	4.715	7	33	208	220	227.982	16.934	4.426	6	27	227.982	28.117	8.809	11	51	208	220	227.982	11.810	4.732	0	23	0-No Error	No comment
90	1772-062-249_F02	225	171	227.982	17.131	4.218	7	28	175	221	227.982	15.234	4.645	4	27	227.982	12.044	4.545	2	25	175	221	227.982	12.438	3.992	3	24	3-OutOfFocus	No comment
91	1772-062-249_F03	258	171	227.982	16.248	4.343	6	29	208	221	227.982	16.723	4.735	5	27	227.982	11.204	3.827	1	22	208	221	227.982	12.139	4.411	0	23	1-No cell	No comment
92	1772-062-249_F04	257	170	227.982	24.891	4.928	11	36	207	220	227.982	19.401	4.591	9	34	227.982	41.365	6.323	24	57	207	220	227.982	21.489	4.599	7	34	3-OutOfFocus	No comment
93	1772-062-249_F05	224	172	227.982	53.504	9.136	26	76	174	222	227.982	15.117	4.248	5	29	227.982	57.277	12.601	29	85	174	222	227.982	11.591	3.893	0	22	0-No Error	No comment
94	1772-062-249_F06	256	168	227.982	15.606	4.310	5	28	206	218	227.982	17.219	4.412	1	28	227.982	11.869	4.083	1	21	206	218	227.982	11.584	4.014	1	21	1-No cell	No comment
95	1772-062-249_F07	228	174	227.982	17.248	4.619	5	29	178	224	227.982	14.956	4.590	2	26	227.982	14.964	5.513	0	30	178	224	227.982	11.285	4.263	0	23	0-No Error	No comment
96	1772-062-249_F08	257	171	227.982	41.664	13.481	17	74	207	221	227.982	15.832	4.383	6	28	227.982	44.781	18.290	15	88	207	221	227.982	9.701	3.971	1	21	0-No Error	No comment
97	1772-062-249_F09	224	173	227.982	25.679	6.745	10	42	174	223	227.982	15.971	4.349	5	29	227.982	38.518	9.192	18	62	174	223	227.982	11.182	4.080	2	22	0-No Error	No comment
98	1772-062-249_F10	222	172	227.982	35.453	16.319	9	80	172	222	227.982	15.606	4.548	6	26	227.982	68.518	46.392	11	188	172	222	227.982	11.124	4.669	2	23	0-No Error	No comment
99	1772-062-249_F11	253	170	227.982	21.737	5.693	8	39	203	220	227.982	16.197	4.345	4	27	227.982	42.467	19.902	5	90	203	220	227.982	11.234	4.593	2	24	0-No Error	No comment
100	1772-062-249_F12	223	173	227.982	64.029	28.287	17	134	173	223	227.982	15.540	4.664	4	30	227.982	49.416	19.713	16	102	173	223	227.982	12.015	4.150	3	24	0-No Error	No comment
101	1772-062-249_G01	256	172	227.982	18.175	5.083	6	30	206	222	227.982	15.715	4.236	5	26	227.982	26.584	5.626	13	40	206	222	227.982	11.818	4.421	0	22	0-No Error	No comment
102	1772-062-249_G02	226	173	227.982	18.292	4.492	5	31	176	223	227.982	15.343	4.264	6	30	227.982	17.336	4.868	2	29	176	223	227.982	11.321	4.726	0	26	0-No Error	No comment
103	1772-062-249_G03	256	172	227.982	41.613	19.334	12	93	206	222	227.982	16.044	4.549	5	27	227.982	66.168	32.522	9	141	206	222	227.982	11.628	3.911	2	21	0-No Error	No comment
104	1772-062-249_G04	255	171	227.982	21.723	4.646	9	33	205	221	227.982	17	4.873	4	29	227.982	35.343	7.243	20	56	205	221	227.982	12.336	4.303	0	21	4-MultipleCells	No comment
105	1772-062-249_G05	221	172	227.982	59.401	35.881	15	145	171	222	227.982	14.942	4.717	0	27	227.982	44.263	26.386	7	103	171	222	227.982	11.029	4.454	2	22	0-No Error	No comment
106	1772-062-249_G06	252	172	227.982	17.854	4.838	8	30	202	222	227.982	15.533	4.533	3	29	227.982	30	12.026	9	62	202	222	227.982	11.526	4.069	2	23	0-No Error	No comment
107	1772-062-249_G07	224	175	227.982	37.555	13.815	13	72	174	225	227.982	15.577	4.342	6	28	227.982	29.650	9.261	12	52	174	225	227.982	12.219	4.460	2	26	0-No Error	No comment
108	1772-062-249_G08	256	173	227.982	25.832	6.105	13	40	206	223	227.982	16.985	4.362	4	29	227.982	58.949	16.559	28	98	206	223	227.982	12.109	4.130	3	21	0-No Error	No comment
109	1772-062-249_G09	226	176	227.982	21.518	4.919	5	34	176	226	227.982	15.920	4.822	6	28	227.982	26.912	5.930	12	45	176	226	227.982	11.022	3.723	2	18	0-No Error	No comment
110	1772-062-249_G10	223	174	227.982	17.336	4.700	4	30	173	224	227.982	16.766	4.385	3	26	227.982	12.898	4.694	1	26	173	224	227.982	11.934	4.492	2	22	2-Debris	No comment
111	1772-062-249_G11	252	170	227.982	17.036	4.746	7	29	202	220	227.982	17.007	4.655	0	31	227.982	15.759	4.625	3	30	202	220	227.982	11.832	4.190	0	23	3-OutOfFocus	No comment
112	1772-062-249_G12	222	174	227.982	18.591	5.529	5	34	172	224	227.982	16.518	4.810	0	35	227.982	29.591	25.121	4	104	172	224	227.982	12.270	4.519	0	27	0-No Error	No comment
113	1772-062-249_H01	255	173	227.982	18.978	4.956	4	30	205	223	227.982	16.839	4.816	6	32	227.982	29.964	6.498	15	47	205	223	227.982	12.139	4.104	3	26	0-No Error	No comment
114	1772-062-249_H02	226	174	227.982	16.022	4.611	3	31	176	224	227.982	15.234	4.525	5	30	227.982	11.993	4.264	0	25	176	224	227.982	11.985	4.022	3	23	3-OutOfFocus	No comment
115	1772-062-249_H03	256	173	227.982	19.774	4.890	7	31	206	223	227.982	16.577	4.292	6	27	227.982	34.934	5.726	21	52	206	223	227.982	11.255	4.327	0	23	3-OutOfFocus	No comment
116	1772-062-249_H04	252	172	227.982	36.474	6.167	18	57	202	222	227.982	17.489	4.374	5	30	227.982	41.314	7.719	23	63	202	222	227.982	12.511	4.754	0	24	0-No Error	No comment
117	1772-062-249_H05	221	174	227.982	33.964	10.482	13	58	171	224	227.982	15.883	3.985	3	26	227.982	54.577	25.038	10	114	171	224	227.982	12.350	3.830	3	22	0-No Error	No comment
118	1772-062-249_H06	252	172	227.982	20	4.829	5	29	202	222	227.982	15.285	4.599	6	27	227.982	34.825	6.785	21	53	202	222	227.982	10.949	4.445	0	21	0-No Error	No comment
119	1772-062-249_H07	224	174	227.982	61.299	25.186	17	121	174	224	227.982	15.153	3.609	7	25	227.982	69.372	34.153	22	152	174	224	227.982	12.175	4.360	1	24	0-No Error	No comment
120	1772-062-249_H08	255	173	227.982	17.328	4.467	6	28	205	223	227.982	15.934	4.378	4	28	227.982	19.270	4.919	3	31	205	223	227.982	12.117	4.042	2	23	3-OutOfFocus	No comment
121	1772-062-249_H09	221	171	227.982	17.591	4.641	7	29	171	221	227.982	15.299	4.426	6	25	227.982	14.526	4.485	5	26	171	221	227.982	11.854	4.483	0	25	3-OutOfFocus	No comment
122	1772-062-249_H10	219	171	227.982	46.453	7.007	21	72	169	221	227.982	15.460	4.398	3	26	227.982	40.635	6.589	24	57	169	221	227.982	11.672	4.194	2	24	0-No Error	No comment
123	1772-062-249_H11	251	172	227.982	17.839	4.497	5	29	201	222	227.982	16.365	4.501	3	29	227.982	11.358	4.282	0	24	201	222	227.982	12.423	4.197	3	25	3-OutOfFocus	No comment
124	1772-062-249_H12	219	172	227.982	16.212	4.686	3	27	169	222	227.982	16.489	3.969	4	27	227.982	11.102	4.317	0	22	169	222	227.982	11.978	4.668	1	24	1-No cell	No comment
125	1772-064-103_A01	261	205	227.982	34.971	11.304	17	73	211	255	227.982	25.825	4.736	14	39	227.982	35.920	11.748	13	72	211	255	227.982	13.934	4.492	4	27	0-No Error	No comment
126	1772-064-103_A02	233	208	227.982	81.365	40.844	16	170	183	258	227.982	25.234	4.691	11	38	227.982	82.109	54.215	15	192	183	258	227.982	14.482	4.258	5	26	0-No Error	No comment
127	1772-064-103_A03	265	206	227.982	71.708	37.095	15	152	215	256	227.982	25.234	4.544	14	36	227.982	35.993	17.516	2	80	215	256	227.982	14.007	4.614	4	26	0-No Error	No comment
128	1772-064-103_A04	263	202	227.982	69.613	27.780	21	130	213	252	227.982	25.219	4.579	14	35	227.982	127.555	68.169	25	268	213	252	227.982	13.650	4.494	5	26	0-No Error	No comment
129	1772-064-103_A05	229	203	227.982	48.679	12.680	28	79	179	253	227.982	25.088	5.263	11	37	227.982	40.642	12.069	18	78	179	253	227.982	14.095	4.516	0	25	0-No Error	No comment
130	1772-064-103_A06	259	201	227.982	55.226	30.694	21	140	209	251	227.982	25.036	5.214	14	42	227.982	54.307	37.965	5	161	209	251	227.982	13.277	4.491	1	24	0-No Error	No comment
131	1772-064-103_A07	227	207	227.982	79.701	45.177	16	190	177	257	227.982	26.971	4.845	15	42	227.982	60.007	40.852	11	153	177	257	227.982	15.730	4.430	4	26	0-No Error	No comment
132	1772-064-103_A08	258	205	227.982	91	35.553	25	171	208	255	227.982	27.255	4.799	15	39	227.982	61.139	25.090	15	119	208	255	227.982	14.847	4.805	4	27	0-No Error	No comment
133	1772-064-103_A09	231	206	227.982	58.277	35.582	19	153	181	256	227.982	25.591	5.205	13	36	227.982	92.314	72.813	15	309	181	256	227.982	15.044	4.721	2	29	0-No Error	No comment
134	1772-064-103_A10	227	201	227.982	90.139	36.399	25	160	177	251	227.982	25.934	5.300	12	42	227.982	102.358	51.954	18	208	177	251	227.982	14.891	4.040	6	25	0-No Error	No comment
