 	Label	Cellcoord.X	Cellcoord.Y	area	mean.ch2	std.ch2	min.ch2	max.ch2	BGcoord.ch2.X	BGcoord.ch2.Y	bg.area.ch2	bg.mean.ch2	bg.std.ch2	bg.min.ch2	bg.max.ch2	area.ch3	mean.ch3	std.ch3	min.ch3	max.ch3	bg.area.ch3	bg.mean.ch3	bg.std.ch3	bg.min.ch3	bg.max.ch3
36	1772-062-248_C12	325	249	227.982	38.022	15.427	10	80	225	299	227.982	16.978	3.925	7	28	227.982	90.971	54.569	21	219	227.982	17.431	4.503	4	29
37	1772-062-248_D01	360	249	227.982	18.752	4.785	6	31	260	299	227.982	16.642	4.454	7	29	227.982	45.905	6.990	28	62	227.982	17.277	4.200	8	27
38	1772-062-248_D02	328	250	227.982	25.591	8.310	10	48	228	300	227.982	17.599	4.159	9	29	227.982	77.044	38.734	24	179	227.982	17.547	4.649	4	30
39	1772-062-248_D03	360	249	227.982	34.526	15.905	9	72	260	299	227.982	16.686	4.942	5	32	227.982	57.766	34.235	15	148	227.982	18.460	4.120	7	31
40	1772-062-248_D04	358	249	227.982	25.131	8.036	11	46	258	299	227.982	16.898	4.514	3	29	227.982	114.474	86.566	11	315	227.982	17.679	5.118	5	35
41	1772-062-248_D05	325	250	227.982	68.920	39.269	11	158	225	300	227.982	17.307	4.163	7	27	227.982	67.285	39.515	13	153	227.982	17.839	4.241	9	30
42	1772-062-248_D06	357	249	227.982	20.088	4.428	8	32	257	299	227.982	17.109	4.535	4	33	227.982	31.620	5.409	19	46	227.982	17.212	4.283	7	28
43	1772-062-248_D07	327	249	227.982	15.416	4.746	2	28	227	299	227.982	15.635	4.299	6	26	227.982	15.489	4.339	3	27	227.982	17.058	4.627	4	28
44	1772-062-248_D08	359	248	227.982	20.599	4.642	9	33	259	298	227.982	14.920	4.578	3	27	227.982	33.146	5.534	17	57	227.982	16.533	4.538	0	27
45	1772-062-248_D09	327	248	227.982	67.124	28.738	21	129	227	298	227.982	16.715	4.098	6	28	227.982	176.255	94.672	39	379	227.982	18.445	4.565	10	31
46	1772-062-248_D10	325	248	227.982	75.708	47.647	12	201	225	298	227.982	17.182	4.484	3	32	227.982	114.620	88.373	16	352	227.982	17.883	4.665	6	33
47	1772-062-248_D11	357	248	227.982	16.752	5.277	6	33	257	298	227.982	16.861	5.117	3	33	227.982	16.642	5.385	2	32	227.982	15.985	4.729	2	29
48	1772-062-248_D12	325	249	227.982	21.058	5.928	7	40	225	299	227.982	15.460	4.211	5	27	227.982	16.358	4.584	5	29	227.982	16.336	4.862	5	27
49	1772-062-248_E01	360	249	227.982	36.839	12.917	10	66	260	299	227.982	15.416	4.165	4	25	227.982	106.891	53.171	32	234	227.982	16.380	4.416	4	26
50	1772-062-248_E02	328	249	227.982	23.635	5.051	10	37	228	299	227.982	16.234	4.342	7	29	227.982	57.518	8.580	35	78	227.982	16.854	4.631	6	31
51	1772-062-248_E03	358	248	227.982	18.161	4.769	5	31	258	298	227.982	15.584	3.998	4	25	227.982	40.044	9.330	21	64	227.982	17.080	4.661	7	26
52	1772-062-248_E04	358	248	227.982	16.175	4.255	6	26	258	298	227.982	16.693	5.180	5	30	227.982	16.920	4.600	3	27	227.982	17.788	4.863	7	32
53	1772-062-248_E05	323	249	227.982	29.168	6.644	13	45	223	299	227.982	15.255	4.164	6	27	227.982	69.504	16.110	32	110	227.982	16.117	4.234	5	30
