../DDBJ/1772-067-039_H06.2.fastq.bz2	Input file name.
04-11-2015; 1:27pm	Date and Time
20.000000	selected threshold
1193205	total input reads
1095867	successfully extracted
91.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6234	low complexity
91104	match artifacts:
18504	Nextera_501
4524	Nextera_502
3268	Nextera_503
6	Nextera_504
29	Nextera_505
30	Nextera_506
3	Nextera_507
62997	Nextera_508
3	Nextera_701
3	rRNA_5.8S
587	rRNA_18S
69	rRNA_28S
154	EC2_RNA_SPIKE_1_(750_bp)
5	EC15_RNA_SPIKE_4_(1000_bp)
648	HPV18
274	HPV18_as
