../DDBJ/1772-067-039_F11.2.fastq.bz2	Input file name.
04-11-2015;12:36pm	Date and Time
20.000000	selected threshold
12586	total input reads
7688	successfully extracted
61.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
541	low complexity
4357	match artifacts:
265	Nextera_501
7	Nextera_502
3	Nextera_503
62	Nextera_504
852	Nextera_506
1	Nextera_507
1	Nextera_508_Reversed:
1	rRNA_28S
3138	EC2_RNA_SPIKE_1_(750_bp)
1	EC3_RNA_SPIKE_3_(1000_bp)
17	EC15_RNA_SPIKE_4_(1000_bp)
6	EC18_RNA_SPIKE_7_(1474bp)
3	HPV18
