../DDBJ/1772-064-103_E06.1.fastq.bz2	Input file name.
04-11-2015; 3:36am	Date and Time
20.000000	selected threshold
1849325	total input reads
1551273	successfully extracted
83.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7041	low complexity
291011	match artifacts:
64897	Nextera_701
103	Nextera_702
204	Nextera_703
31	Nextera_704
42	Nextera_705
211422	Nextera_706
26	Nextera_707
57	Nextera_708
20	Nextera_710
59	Nextera_711
29	Nextera_712
64	Nextera_701_Reversed:
3	Nextera_702_Reversed:
19	Nextera_703_Reversed:
16	Nextera_704_Reversed:
23	Nextera_705_Reversed:
1405	Nextera_706_Reversed:
1	Nextera_707_Reversed:
1	Nextera_708_Reversed:
5	Nextera_711_Reversed:
11	Nextera_712_Reversed:
106	rRNA_18S
29	rRNA_28S
10765	EC2_RNA_SPIKE_1_(750_bp)
495	EC15_RNA_SPIKE_4_(1000_bp)
6	EC18_RNA_SPIKE_7_(1474bp)
873	HPV18
299	HPV18_as
