../DDBJ/1772-067-038_G03.2.fastq.bz2	Input file name.
04-11-2015; 9:27am	Date and Time
20.000000	selected threshold
1775431	total input reads
1632634	successfully extracted
92.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9732	low complexity
133065	match artifacts:
29123	Nextera_501
417	Nextera_502
8	Nextera_503
5372	Nextera_504
124	Nextera_505
5717	Nextera_506
90831	Nextera_507
7	Nextera_508
5	Nextera_701
1	Nextera_507_Reversed:
3	rRNA_5.8S
230	rRNA_18S
29	rRNA_28S
209	EC2_RNA_SPIKE_1_(750_bp)
694	HPV18
295	HPV18_as
