../DDBJ/1772-064-103_B06.1.fastq.bz2	Input file name.
04-11-2015; 1:31am	Date and Time
20.000000	selected threshold
1636337	total input reads
1394561	successfully extracted
85.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6342	low complexity
235434	match artifacts:
53569	Nextera_701
104	Nextera_702
192	Nextera_703
31	Nextera_704
25	Nextera_705
171797	Nextera_706
17	Nextera_707
49	Nextera_708
1	Nextera_709
10	Nextera_710
54	Nextera_711
26	Nextera_712
36	Nextera_701_Reversed:
18	Nextera_703_Reversed:
14	Nextera_704_Reversed:
11	Nextera_705_Reversed:
865	Nextera_706_Reversed:
2	Nextera_707_Reversed:
2	Nextera_708_Reversed:
1	Nextera_710_Reversed:
18	Nextera_711_Reversed:
7	Nextera_712_Reversed:
69	rRNA_18S
33	rRNA_28S
5932	EC2_RNA_SPIKE_1_(750_bp)
495	EC15_RNA_SPIKE_4_(1000_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
1542	HPV18
513	HPV18_as
