../DDBJ/1772-067-039_F02.2.fastq.bz2	Input file name.
04-11-2015;12:19pm	Date and Time
20.000000	selected threshold
1514800	total input reads
1397227	successfully extracted
92.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6875	low complexity
110698	match artifacts:
24711	Nextera_501
431	Nextera_502
12	Nextera_503
4651	Nextera_504
9	Nextera_505
76069	Nextera_506
43	Nextera_507
7	Nextera_508
5	Nextera_701
12	rRNA_5.8S
629	rRNA_18S
76	rRNA_28S
206	EC2_RNA_SPIKE_1_(750_bp)
6	EC15_RNA_SPIKE_4_(1000_bp)
2722	HPV18
1109	HPV18_as
