../DDBJ/1772-067-038_H03.1.fastq.bz2	Input file name.
04-11-2015; 9:50am	Date and Time
20.000000	selected threshold
1911518	total input reads
1726952	successfully extracted
90.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
12203	low complexity
172363	match artifacts:
37690	Nextera_701
37	Nextera_702
129420	Nextera_703
19	Nextera_704
35	Nextera_705
30	Nextera_706
6	Nextera_707
4	Nextera_708
10	Nextera_709
4	Nextera_710
28	Nextera_711
27	Nextera_712
5	Nextera_701_Reversed:
4	Nextera_702_Reversed:
220	Nextera_703_Reversed:
2	Nextera_704_Reversed:
4	Nextera_705_Reversed:
7	Nextera_706_Reversed:
1	Nextera_707_Reversed:
8	Nextera_709_Reversed:
4	Nextera_711_Reversed:
3	Nextera_712_Reversed:
5	rRNA_5.8S
135	rRNA_18S
14	rRNA_28S
214	EC2_RNA_SPIKE_1_(750_bp)
14	EC15_RNA_SPIKE_4_(1000_bp)
3366	HPV18
1047	HPV18_as
