../DDBJ/1772-067-039_F10.1.fastq.bz2	Input file name.
04-11-2015;12:35pm	Date and Time
20.000000	selected threshold
1306607	total input reads
1166770	successfully extracted
89.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5909	low complexity
133928	match artifacts:
28907	Nextera_701
9158	Nextera_702
12	Nextera_703
14	Nextera_704
8	Nextera_705
24	Nextera_706
5	Nextera_707
21	Nextera_708
2	Nextera_709
92765	Nextera_710
2	Nextera_711
47	Nextera_712
2	Nextera_701_Reversed:
2	Nextera_702_Reversed:
1	Nextera_703_Reversed:
1	Nextera_704_Reversed:
1	Nextera_706_Reversed:
2	Nextera_708_Reversed:
4	Nextera_709_Reversed:
115	Nextera_710_Reversed:
2	Nextera_711_Reversed:
3	Nextera_712_Reversed:
567	rRNA_18S
46	rRNA_28S
257	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
3	EC18_RNA_SPIKE_7_(1474bp)
1490	HPV18
466	HPV18_as
