../DDBJ/1772-067-039_H09.1.fastq.bz2	Input file name.
04-11-2015; 1:34pm	Date and Time
20.000000	selected threshold
1349559	total input reads
1202627	successfully extracted
89.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5673	low complexity
141259	match artifacts:
29885	Nextera_701
69	Nextera_702
20	Nextera_703
63	Nextera_704
4544	Nextera_705
9	Nextera_706
15	Nextera_707
7	Nextera_708
101511	Nextera_709
4	Nextera_710
9	Nextera_711
20	Nextera_712
2	Nextera_702_Reversed:
1	Nextera_703_Reversed:
1	Nextera_704_Reversed:
1	Nextera_705_Reversed:
3	Nextera_706_Reversed:
1	Nextera_708_Reversed:
93	Nextera_709_Reversed:
9	rRNA_5.8S
983	rRNA_18S
80	rRNA_28S
169	EC2_RNA_SPIKE_1_(750_bp)
2	EC15_RNA_SPIKE_4_(1000_bp)
2869	HPV18
889	HPV18_as
