../DDBJ/1772-062-249_F03.2.fastq.bz2	Input file name.
04-10-2015;11:20pm	Date and Time
20.000000	selected threshold
328165	total input reads
63845	successfully extracted
19.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1636	low complexity
262684	match artifacts:
5603	Nextera_501
321	Nextera_502
4	Nextera_503
1379	Nextera_504
7	Nextera_505
28092	Nextera_506
7	Nextera_507
2	Nextera_508
3	Nextera_701
1	Nextera_501_Reversed:
1	Nextera_503_Reversed:
6	Nextera_506_Reversed:
3	rRNA_18S
2	rRNA_28S
213479	EC2_RNA_SPIKE_1_(750_bp)
11407	EC15_RNA_SPIKE_4_(1000_bp)
2358	EC18_RNA_SPIKE_7_(1474bp)
7	HPV18
2	HPV18_as
