../DDBJ/1772-067-038_B12.1.fastq.bz2	Input file name.
04-11-2015; 6:53am	Date and Time
20.000000	selected threshold
1908550	total input reads
1720868	successfully extracted
90.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
15359	low complexity
172323	match artifacts:
37897	Nextera_701
44	Nextera_702
21	Nextera_703
27	Nextera_704
5827	Nextera_705
54	Nextera_706
6	Nextera_707
40	Nextera_708
59	Nextera_709
6	Nextera_710
39	Nextera_711
126343	Nextera_712
4	Nextera_701_Reversed:
1	Nextera_702_Reversed:
1	Nextera_703_Reversed:
2	Nextera_704_Reversed:
4	Nextera_705_Reversed:
3	Nextera_706_Reversed:
2	Nextera_708_Reversed:
4	Nextera_709_Reversed:
185	Nextera_712_Reversed:
4	rRNA_5.8S
60	rRNA_18S
11	rRNA_28S
320	EC2_RNA_SPIKE_1_(750_bp)
1045	HPV18
314	HPV18_as
