../DDBJ/1772-062-248_A08.2.fastq.bz2	Input file name.
04-10-2015; 3:37pm	Date and Time
20.000000	selected threshold
356440	total input reads
93587	successfully extracted
26.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1611	low complexity
261242	match artifacts:
62547	Nextera_501
18	Nextera_502
10	Nextera_503
11	Nextera_504
89	Nextera_505
5	Nextera_506
4	Nextera_507
7	Nextera_508
17	Nextera_701
10	Nextera_501_Reversed:
2	Nextera_503_Reversed:
16	rRNA_18S
5	rRNA_28S
187101	EC2_RNA_SPIKE_1_(750_bp)
10033	EC15_RNA_SPIKE_4_(1000_bp)
1356	EC18_RNA_SPIKE_7_(1474bp)
7	HPV18
4	HPV18_as
