../DDBJ/1772-062-248_E08.2.fastq.bz2	Input file name.
04-10-2015; 6:15pm	Date and Time
20.000000	selected threshold
1915320	total input reads
1706580	successfully extracted
89.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2994	low complexity
205746	match artifacts:
41296	Nextera_501
77	Nextera_502
5	Nextera_503
53	Nextera_504
142895	Nextera_505
7	Nextera_506
12	Nextera_507
9	Nextera_508
46	Nextera_701
1	Nextera_501_Reversed:
1	Nextera_505_Reversed:
1	rRNA_5.8S
2211	rRNA_18S
142	rRNA_28S
13107	EC2_RNA_SPIKE_1_(750_bp)
1064	EC15_RNA_SPIKE_4_(1000_bp)
52	EC18_RNA_SPIKE_7_(1474bp)
3497	HPV18
1270	HPV18_as
