../DDBJ/1772-067-039_A03.2.fastq.bz2	Input file name.
04-11-2015;10:18am	Date and Time
20.000000	selected threshold
1238727	total input reads
1144501	successfully extracted
92.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6770	low complexity
87456	match artifacts:
84417	Nextera_501
49	Nextera_502
10	Nextera_503
120	Nextera_504
48	Nextera_505
1	Nextera_506
8	Nextera_508
2	Nextera_701
1	Nextera_503_Reversed:
1	rRNA_5.8S
622	rRNA_18S
66	rRNA_28S
92	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
1404	HPV18
614	HPV18_as
