../DDBJ/1772-067-039_E07.2.fastq.bz2	Input file name.
04-11-2015;12:08pm	Date and Time
20.000000	selected threshold
1321477	total input reads
1221421	successfully extracted
92.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7832	low complexity
92224	match artifacts:
23539	Nextera_501
100	Nextera_502
4	Nextera_503
21	Nextera_504
63455	Nextera_505
6	Nextera_506
6	Nextera_507
20	Nextera_508
4	Nextera_701
1	Nextera_503_Reversed:
2	rRNA_5.8S
754	rRNA_18S
83	rRNA_28S
88	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
2869	HPV18
1271	HPV18_as
