../DDBJ/1772-062-249_E10.1.fastq.bz2	Input file name.
04-10-2015;11:07pm	Date and Time
20.000000	selected threshold
1228800	total input reads
1124538	successfully extracted
91.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3395	low complexity
100867	match artifacts:
15076	Nextera_701
4823	Nextera_702
4	Nextera_703
6	Nextera_705
5	Nextera_706
2	Nextera_707
17	Nextera_708
5	Nextera_709
57829	Nextera_710
7	Nextera_711
5	Nextera_712
1	Nextera_505_Reversed:
3	Nextera_701_Reversed:
8	Nextera_702_Reversed:
4	Nextera_704_Reversed:
1	Nextera_705_Reversed:
1	Nextera_706_Reversed:
1	Nextera_708_Reversed:
1	Nextera_709_Reversed:
359	Nextera_710_Reversed:
5	Nextera_711_Reversed:
16	Nextera_712_Reversed:
2981	rRNA_18S
110	rRNA_28S
14744	EC2_RNA_SPIKE_1_(750_bp)
991	EC15_RNA_SPIKE_4_(1000_bp)
88	EC18_RNA_SPIKE_7_(1474bp)
2856	HPV18
918	HPV18_as
