../DDBJ/1772-064-103_C10.2.fastq.bz2	Input file name.
04-11-2015; 2:32am	Date and Time
20.000000	selected threshold
1835116	total input reads
1532206	successfully extracted
83.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1286	low complexity
301624	match artifacts:
49937	Nextera_501
8464	Nextera_502
219612	Nextera_503
2	Nextera_504
9	Nextera_505
8	Nextera_506
5	Nextera_507
91	Nextera_508
32	Nextera_701
3	Nextera_502_Reversed:
5	Nextera_503_Reversed:
1	Nextera_507_Reversed:
29	rRNA_5.8S
101	rRNA_18S
66	rRNA_28S
19469	EC2_RNA_SPIKE_1_(750_bp)
119	EC3_RNA_SPIKE_3_(1000_bp)
412	EC15_RNA_SPIKE_4_(1000_bp)
2346	HPV18
913	HPV18_as
