../DDBJ/1772-062-249_C12.2.fastq.bz2	Input file name.
04-10-2015;10:22pm	Date and Time
20.000000	selected threshold
1761234	total input reads
1528404	successfully extracted
86.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
964	low complexity
231866	match artifacts:
40500	Nextera_501
6117	Nextera_502
170070	Nextera_503
2	Nextera_504
5	Nextera_505
6	Nextera_506
2	Nextera_507
327	Nextera_508
44	Nextera_701
1	Nextera_501_Reversed:
9	Nextera_503_Reversed:
1	Nextera_506_Reversed:
1	rRNA_5.8S
1572	rRNA_18S
69	rRNA_28S
6867	EC2_RNA_SPIKE_1_(750_bp)
336	EC15_RNA_SPIKE_4_(1000_bp)
122	EC18_RNA_SPIKE_7_(1474bp)
4438	HPV18
1377	HPV18_as
