../DDBJ/1772-067-039_H01.1.fastq.bz2	Input file name.
04-11-2015; 1:15pm	Date and Time
20.000000	selected threshold
1300634	total input reads
1170695	successfully extracted
90.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8220	low complexity
121719	match artifacts:
118345	Nextera_701
10	Nextera_702
20	Nextera_703
16	Nextera_704
5	Nextera_705
20	Nextera_706
8	Nextera_707
11	Nextera_708
12	Nextera_709
5	Nextera_710
12	Nextera_711
21	Nextera_712
101	Nextera_701_Reversed:
1	Nextera_703_Reversed:
4	Nextera_705_Reversed:
2	Nextera_706_Reversed:
1	Nextera_711_Reversed:
1	Nextera_712_Reversed:
2	rRNA_5.8S
778	rRNA_18S
67	rRNA_28S
112	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
31	EC18_RNA_SPIKE_7_(1474bp)
1625	HPV18
508	HPV18_as
