../DDBJ/1772-062-249_E06.1.fastq.bz2	Input file name.
04-10-2015;10:58pm	Date and Time
20.000000	selected threshold
1422392	total input reads
1285366	successfully extracted
90.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3633	low complexity
133393	match artifacts:
1	Nextera_501
26477	Nextera_701
28	Nextera_702
180	Nextera_703
8	Nextera_704
8	Nextera_705
78244	Nextera_706
1	Nextera_707
6	Nextera_708
11	Nextera_709
16	Nextera_711
10	Nextera_712
6	Nextera_701_Reversed:
2	Nextera_703_Reversed:
2	Nextera_704_Reversed:
1	Nextera_705_Reversed:
282	Nextera_706_Reversed:
1	Nextera_708_Reversed:
8	Nextera_709_Reversed:
1	Nextera_711_Reversed:
11	Nextera_712_Reversed:
1	rRNA_5.8S
2654	rRNA_18S
229	rRNA_28S
16275	EC2_RNA_SPIKE_1_(750_bp)
1355	EC15_RNA_SPIKE_4_(1000_bp)
189	EC18_RNA_SPIKE_7_(1474bp)
5646	HPV18
1740	HPV18_as
