../DDBJ/1772-064-103_G04.2.fastq.bz2	Input file name.
04-11-2015; 4:50am	Date and Time
20.000000	selected threshold
1755407	total input reads
1489253	successfully extracted
84.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2425	low complexity
263729	match artifacts:
39998	Nextera_501
1244	Nextera_502
9	Nextera_503
8288	Nextera_504
198	Nextera_505
7457	Nextera_506
182695	Nextera_507
7	Nextera_508
17	Nextera_701
1	Nextera_501_Reversed:
2	Nextera_503_Reversed:
1	Nextera_506_Reversed:
2	Nextera_507_Reversed:
1	Nextera_508_Reversed:
3	rRNA_5.8S
238	rRNA_18S
98	rRNA_28S
17775	EC2_RNA_SPIKE_1_(750_bp)
1035	EC15_RNA_SPIKE_4_(1000_bp)
42	EC18_RNA_SPIKE_7_(1474bp)
3451	HPV18
1167	HPV18_as
