../DDBJ/1772-067-039_G05.2.fastq.bz2	Input file name.
04-11-2015;12:53pm	Date and Time
20.000000	selected threshold
1538393	total input reads
1408596	successfully extracted
91.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7058	low complexity
122739	match artifacts:
27363	Nextera_501
405	Nextera_502
5	Nextera_503
5045	Nextera_504
142	Nextera_505
5488	Nextera_506
80107	Nextera_507
7	Nextera_508
1	Nextera_507_Reversed:
577	rRNA_18S
55	rRNA_28S
196	EC2_RNA_SPIKE_1_(750_bp)
15	EC15_RNA_SPIKE_4_(1000_bp)
2320	HPV18
1013	HPV18_as
