../DDBJ/1772-067-039_H11.2.fastq.bz2	Input file name.
04-11-2015; 1:39pm	Date and Time
20.000000	selected threshold
1610463	total input reads
1455447	successfully extracted
90.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7079	low complexity
147937	match artifacts:
29607	Nextera_501
7545	Nextera_502
5375	Nextera_503
13	Nextera_504
60	Nextera_505
49	Nextera_506
3	Nextera_507
101717	Nextera_508
3	rRNA_5.8S
646	rRNA_18S
73	rRNA_28S
250	EC2_RNA_SPIKE_1_(750_bp)
27	EC15_RNA_SPIKE_4_(1000_bp)
1802	HPV18
767	HPV18_as
