../DDBJ/1772-067-039_F06.2.fastq.bz2	Input file name.
04-11-2015;12:27pm	Date and Time
20.000000	selected threshold
1759140	total input reads
1595089	successfully extracted
90.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8410	low complexity
155641	match artifacts:
33831	Nextera_501
517	Nextera_502
30	Nextera_503
6385	Nextera_504
14	Nextera_505
108934	Nextera_506
55	Nextera_507
15	Nextera_508
4	Nextera_701
1	Nextera_503_Reversed:
9	rRNA_5.8S
1293	rRNA_18S
134	rRNA_28S
379	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
2790	HPV18
1249	HPV18_as
