../DDBJ/1772-062-248_G05.2.fastq.bz2	Input file name.
04-10-2015; 7:39pm	Date and Time
20.000000	selected threshold
1918366	total input reads
1684373	successfully extracted
87.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3408	low complexity
230585	match artifacts:
36867	Nextera_501
2422	Nextera_502
3	Nextera_503
6150	Nextera_504
181	Nextera_505
6524	Nextera_506
155351	Nextera_507
10	Nextera_508
46	Nextera_701
2	rRNA_5.8S
3606	rRNA_18S
159	rRNA_28S
14173	EC2_RNA_SPIKE_1_(750_bp)
975	EC15_RNA_SPIKE_4_(1000_bp)
79	EC18_RNA_SPIKE_7_(1474bp)
2930	HPV18
1107	HPV18_as
