../DDBJ/1772-067-039_H10.2.fastq.bz2	Input file name.
04-11-2015; 1:36pm	Date and Time
20.000000	selected threshold
498058	total input reads
435406	successfully extracted
87.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4245	low complexity
58407	match artifacts:
11035	Nextera_501
2931	Nextera_502
2180	Nextera_503
3	Nextera_504
14	Nextera_505
16	Nextera_506
3	Nextera_507
40985	Nextera_508
1	Nextera_701
1	Nextera_502_Reversed:
1	Nextera_508_Reversed:
5	rRNA_5.8S
228	rRNA_18S
41	rRNA_28S
925	EC2_RNA_SPIKE_1_(750_bp)
2	EC15_RNA_SPIKE_4_(1000_bp)
11	EC18_RNA_SPIKE_7_(1474bp)
14	HPV18
11	HPV18_as
