../DDBJ/1772-062-248_F07.2.fastq.bz2	Input file name.
04-10-2015; 6:57pm	Date and Time
20.000000	selected threshold
2133458	total input reads
1884047	successfully extracted
88.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3268	low complexity
246143	match artifacts:
40154	Nextera_501
2037	Nextera_502
17	Nextera_503
7321	Nextera_504
22	Nextera_505
170320	Nextera_506
93	Nextera_507
11	Nextera_508
56	Nextera_701
2	Nextera_502_Reversed:
2	Nextera_504_Reversed:
1	rRNA_5.8S
3876	rRNA_18S
150	rRNA_28S
13147	EC2_RNA_SPIKE_1_(750_bp)
972	EC15_RNA_SPIKE_4_(1000_bp)
114	EC18_RNA_SPIKE_7_(1474bp)
5730	HPV18
2118	HPV18_as
