../DDBJ/1772-067-038_G04.1.fastq.bz2	Input file name.
04-11-2015; 9:28am	Date and Time
20.000000	selected threshold
1393372	total input reads
1230427	successfully extracted
88.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
13642	low complexity
149303	match artifacts:
36805	Nextera_701
63	Nextera_702
24	Nextera_703
109275	Nextera_704
15	Nextera_705
7	Nextera_706
3	Nextera_707
5	Nextera_708
18	Nextera_709
1	Nextera_710
16	Nextera_711
4	Nextera_712
2	Nextera_701_Reversed:
3	Nextera_703_Reversed:
271	Nextera_704_Reversed:
3	Nextera_705_Reversed:
3	Nextera_706_Reversed:
4	Nextera_709_Reversed:
2	Nextera_711_Reversed:
1	Nextera_712_Reversed:
2	rRNA_5.8S
796	rRNA_18S
122	rRNA_28S
249	EC2_RNA_SPIKE_1_(750_bp)
1218	HPV18
391	HPV18_as
