../DDBJ/1772-062-249_C12.1.fastq.bz2	Input file name.
04-10-2015;10:20pm	Date and Time
20.000000	selected threshold
1761234	total input reads
1528859	successfully extracted
86.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1931	low complexity
230444	match artifacts:
38531	Nextera_701
20	Nextera_702
14	Nextera_703
10	Nextera_704
5981	Nextera_705
148	Nextera_706
11	Nextera_707
31	Nextera_708
38	Nextera_709
7	Nextera_710
32	Nextera_711
167378	Nextera_712
10	Nextera_701_Reversed:
1	Nextera_702_Reversed:
4	Nextera_703_Reversed:
3	Nextera_704_Reversed:
21	Nextera_705_Reversed:
1	Nextera_707_Reversed:
52	Nextera_709_Reversed:
19	Nextera_711_Reversed:
3334	Nextera_712_Reversed:
1630	rRNA_18S
70	rRNA_28S
6822	EC2_RNA_SPIKE_1_(750_bp)
341	EC15_RNA_SPIKE_4_(1000_bp)
126	EC18_RNA_SPIKE_7_(1474bp)
4469	HPV18
1340	HPV18_as
